command,products
ip igmp query-max-response-time,"['cbs_250', 'cbs_350', 'cat_1300']"
ip igmp robustness,"['cbs_250', 'cbs_350', 'cat_1300']"
ip igmp snooping,['cbs_220']
ip igmp snooping (Global),"['cbs_250', 'cbs_350', 'cat_1300']"
ip igmp snooping map cpe vlan,"['cbs_250', 'cbs_350', 'cat_1300']"
ip igmp snooping querier,"['cbs_250', 'cbs_350', 'cat_1300']"
ip igmp snooping report-suppression,['cbs_220']
ip igmp snooping unknown-multicast action,['cbs_220']
ip igmp snooping version,['cbs_220']
ip igmp snooping vlan,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
ip igmp snooping vlan forbidden forward-all,['cbs_220']
ip igmp snooping vlan forbidden mrouter,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
ip igmp snooping vlan forward-all,['cbs_220']
ip igmp snooping vlan immediate-leave,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
ip igmp snooping vlan last-member-query-count,['cbs_220']
ip igmp snooping vlan last-member-query-interval,['cbs_220']
ip igmp snooping vlan mrouter,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
ip igmp snooping vlan mrouter interface,"['cbs_250', 'cbs_350', 'cat_1300']"
ip igmp snooping vlan multicast-tv,"['cbs_250', 'cbs_350', 'cat_1300']"
ip igmp snooping vlan querier,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
ip igmp snooping vlan querier address,"['cbs_250', 'cbs_350', 'cat_1300']"
ip igmp snooping vlan querier election,"['cbs_250', 'cbs_350', 'cat_1300']"
ip igmp snooping vlan querier version,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
ip igmp snooping vlan query-interval,['cbs_220']
ip igmp snooping vlan response-time,['cbs_220']
ip igmp snooping vlan robustness-variable,['cbs_220']
ip igmp snooping vlan static,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
ip igmp version,"['cbs_250', 'cbs_350', 'cat_1300']"
ip igmp-proxy,"['cbs_350', 'cat_1300']"
ip igmp-proxy downstream protected,"['cbs_350', 'cat_1300']"
ip igmp-proxy downstream protected interface,"['cbs_350', 'cat_1300']"
ip igmp-proxy ssm,"['cbs_350', 'cat_1300']"
ip mac,"['cbs_350', 'cat_1300']"
ip multicast ttl-threshold,"['cbs_350', 'cat_1300']"
ip multicast-routing,"['cbs_350', 'cat_1300']"
ip name-server,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
ip policy route-map,"['cbs_250', 'cbs_350', 'cat_1300']"
ip proxy-arp,"['cbs_250', 'cbs_350', 'cat_1300']"
ip redirects,"['cbs_250', 'cbs_350', 'cat_1300']"
ip rip authentication key-chain,"['cbs_350', 'cat_1300']"
ip rip authentication mode,"['cbs_350', 'cat_1300']"
ip rip authentication-key,"['cbs_350', 'cat_1300']"
ip rip default-information originate,"['cbs_350', 'cat_1300']"
ip rip distribute-list in,"['cbs_350', 'cat_1300']"
ip rip distribute-list out,"['cbs_350', 'cat_1300']"
ip rip offset,"['cbs_350', 'cat_1300']"
ip rip passive-interface,"['cbs_350', 'cat_1300']"
ip rip shutdown,"['cbs_350', 'cat_1300']"
ip route,"['cbs_250', 'cbs_350', 'cat_1300']"
ip routing,"['cbs_250', 'cbs_350', 'cat_1300']"
ip source binding,['cbs_220']
ip source binding max-entry,['cbs_220']
ip ssh password-auth,"['cbs_250', 'cbs_350', 'cat_1300']"
ip ssh port,"['cbs_250', 'cbs_350', 'cat_1300']"
ip ssh pubkey-auth,"['cbs_250', 'cbs_350', 'cat_1300']"
ip ssh server,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
ip ssh-client authentication,"['cbs_250', 'cbs_350', 'cat_1300']"
ip ssh-client change server password,"['cbs_250', 'cbs_350', 'cat_1300']"
ip ssh-client key,"['cbs_250', 'cbs_350', 'cat_1300']"
ip ssh-client password,"['cbs_250', 'cbs_350', 'cat_1300']"
ip ssh-client server authentication,"['cbs_250', 'cbs_350', 'cat_1300']"
ip ssh-client server fingerprint,"['cbs_250', 'cbs_350', 'cat_1300']"
ip ssh-client source-interface,"['cbs_250', 'cbs_350', 'cat_1300']"
ip ssh-client username,"['cbs_250', 'cbs_350', 'cat_1300']"
ip telnet server,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
ip verify source,['cbs_220']
ipv6 access-group in,['cbs_220']
ipv6 access-list,['cbs_220']
ipv6 access-list (IP standard),"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 access-list (IPv6 extended),"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 address,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 address anycast,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 address autoconfig,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 address dhcp,"['cbs_250', 'cbs_350', 'cat_1300']"
