command,products
udld message time,"['cbs_350', 'cat_1300']"
udld port,"['cbs_350', 'cat_1300']"
user-key,"['cbs_250', 'cbs_350', 'cat_1300']"
username,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
username (dot1x credentials),"['cbs_250', 'cbs_350', 'cat_1300']"
validate source-mac,"['cbs_350', 'cat_1300']"
vlan,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
vlan database,"['cbs_250', 'cbs_350', 'cat_1300']"
vlan default-vlan,['cbs_220']
vlan prohibit-internal-usage,"['cbs_250', 'cbs_350', 'cat_1300']"
voice vlan aging-timeout,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
voice vlan cos,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
voice vlan cos mode,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
voice vlan dscp,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
voice vlan enable,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
voice vlan id,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
voice vlan mode,['cbs_220']
voice vlan oui-table,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
voice vlan refresh,"['cbs_250', 'cbs_350', 'cat_1300']"
voice vlan state,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
voice vlan vpt,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
write,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
wrr-queue bandwidth,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
wrr-queue cos-map,"['cbs_250', 'cbs_350', 'cat_1300']"
